trial_numbers,cue_time in s,M7_L_rewards,M7_L_beambreak_time in s,M7_L_reward time in s,M8_R_rewards,M8_R_beambreak_time in s,M8_R_reward time in s,M7_L_beambreak_time,M8_R_beambreak_time,cue_time
,202307131154046,40,202307131154176,202307131154177,40,,202307131151137,1689274457.6983204,1689274460.7690973,1689274444.6813204
,202307131154308,41,202307131154318,202307131154319,40,,202307131151137,1689274471.8952994,1689274486.9787545,1689274470.8915815
,202307131154570,42,202307131154580,202307131154581,40,,202307131151137,1689274498.0994978,1689274513.1831424,1689274497.0958338
,202307131155233,43,202307131155303,202307131155303,40,,202307131151137,1689274530.322461,1689274539.4012039,1689274523.3110921
,202307131155495,44,202307131155525,202307131155525,41,202307131156016,202307131156016,1689274552.5301256,1689274561.605576,1689274549.5244725
,202307131156067,45,202307131156148,202307131156149,42,202307131156077,202307131156078,1689274574.8695939,1689274567.797987,1689274566.7944064
,202307131156200,46,202307131156240,202307131156241,42,,202307131156078,1689274584.0496113,1689274596.1300423,1689274580.0427845
,202307131156462,47,202307131156472,202307131156473,42,,202307131156078,1689274607.2628348,1689274622.3482063,1689274606.25753
,202307131157124,48,202307131157164,202307131157165,43,202307131157165,202307131157166,1689274636.4820385,1689274636.5469816,1689274632.47483
,202307131157217,48,,202307131157165,43,,202307131157166,1689274657.7402854,1689274657.7424514,1689274641.7182312
,202307131157528,48,,202307131157165,43,,202307131157166,1689274688.9078724,1689274688.911243,1689274672.884242
,202307131158240,48,,202307131157165,43,,202307131157166,1689274720.080669,1689274720.0843008,1689274704.0567393
,202307131158552,48,,202307131157165,44,202307131158582,202307131158582,1689274751.2969546,1689274738.2142105,1689274735.2085948
,202307131159164,49,202307131159214,202307131159215,44,,202307131158582,1689274761.4351559,1689274772.517808,1689274756.4253817
,202307131159426,49,,202307131159215,44,,202307131158582,1689274798.669922,1689274798.6715245,1689274782.6482623
,202307131200138,50,202307131200148,202307131200148,44,,202307131158582,1689274814.8304935,1689274829.9117575,1689274813.8270438
,202307131200400,50,,202307131200148,44,,202307131158582,1689274856.0554576,1689274856.05718,1689274840.0323946
,202307131201112,50,,202307131200148,44,,202307131158582,1689274887.2281177,1689274887.2301757,1689274871.203418
,202307131201423,50,,202307131200148,44,,202307131158582,1689274918.3944569,1689274918.3966541,1689274902.371913
,202307131202135,51,202307131202205,202307131202206,45,202307131202206,202307131202206,1689274940.5391972,1689274940.6059108,1689274933.529114
,202307131202257,52,202307131202267,202307131202268,46,202307131202268,202307131202268,1689274946.7640924,1689274946.8277712,1689274945.7606626
,202307131202319,53,202307131202350,202307131202351,47,202307131202329,202307131202330,1689274955.0619764,1689274952.9951463,1689274951.991733
,202307131202402,54,202307131202412,202307131202412,47,,202307131202330,1689274961.2353892,1689274976.3197033,1689274960.232042
,202307131203064,55,202307131203074,202307131203075,47,,202307131202330,1689274987.4512532,1689275002.5337074,1689274986.4477744
,202307131203327,56,202307131203357,202307131203357,47,,202307131202330,1689275015.7141738,1689275028.7979176,1689275012.7083535
,202307131203589,57,202307131204029,202307131204030,47,,202307131202330,1689275042.9534576,1689275055.0341463,1689275038.944636
,202307131204251,58,202307131204281,202307131204282,47,,202307131202330,1689275068.1582005,1689275081.242502,1689275065.1525652
,202307131204513,59,202307131205014,202307131205015,48,202307131204523,202307131204524,1689275101.4385579,1689275092.3647525,1689275091.3591783
,202307131205066,60,202307131205076,202307131205076,49,202307131205156,202307131205157,1689275107.6131551,1689275115.6855438,1689275106.6095896
,202307131205208,61,202307131205248,202307131205249,49,,202307131205157,1689275124.8664486,1689275136.9461434,1689275120.859829
,202307131205470,62,202307131205490,202307131205491,49,,202307131205157,1689275149.066809,1689275163.152486,1689275147.0607052
